year ,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
2020,Royal Challengers Bangalore,Mumbai Indians,164,166,Mumbai Indians,Field,Mumbai,5 wickets,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi
2020,Kolkata Knight Riders,Chennai Super Kings,172,178,Chennai Super Kings,Field,Super,6 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,
2020,Kings XI Punjab,Rajasthan Royals,185,186,Rajasthan Royals,Field,Royals,7 wickets,Ben Stokes,Zayed Cricket Stadium,Abu Dhabi
2020,Delhi Capitals,Mumbai Indians,110,111,Mumbai Indians,Field,Mumbai,9 wickets,Ishan Kishan,Dubai International Cricket Stadium,
2020,Royal Challengers Bangalore,Sunrisers Hyderabad,120,121,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Sandeep Sharma,Sharjah Cricket Stadium,
2020,Kings XI Punjab,Chennai Super Kings,153,154,Chennai Super Kings,Field,Super,9 wickets,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi
2020,Kolkata Knight Riders,Rajasthan Royals,191,131,Rajasthan Royals,Field,KKR,60 runs,Pat Cummins,Dubai International Cricket Stadium,
2020,Royal Challengers Bangalore,Delhi Capitals,152,154,Delhi Capitals,Field,Capitals,6 wickets,Anrich Nortje,Zayed Cricket Stadium,Abu Dhabi
2020,Mumbai Indians,Sunrisers Hyderabad,149,151,Sunrisers Hyderabad,Field,Sunrisers,10 wickets,Shahbaz Nadeem,Sharjah Cricket Stadium,
2020,Mumbai Indians,Delhi Capitals,200,143,Delhi Capitals,Field,Mumbai,57 runs,Jasprit Bumrah,Dubai International Cricket Stadium,
2020,Royal Challengers Bangalore,Sunrisers Hyderabad,131,132,Sunrisers Hyderabad,Field,Sunrisers,6 wickets,Kane Williamson,Sheikh Zayed Stadium,Abu Dhabi
2020,Delhi Capitals,Sunrisers Hyderabad,189,172,Delhi Capitals,Bat,Capitals,17 runs,Marcus Stoinis,Sheikh Zayed Stadium,Abu Dhabi
2020,Delhi Capitals,Mumbai Indians,156,157,Delhi Capitals,Bat,Mumbai,5 wickets,Trent Boult,Dubai International Cricket Stadium,
2019,Royal Challengers Bangalore,Chennai Super Kings,70,71,Chennai Super Kings,Field,Super,7 wickets,Harbhajan Singh,MA Chidambaram Stadium,Chepauk
2019,Sunrisers Hyderabad,Kolkata Knight Riders,181,183,Kolkata Knight Riders,Field,KKR,6 wickets,Andre Russell,Eden Gardens,Kolkata
2019,Delhi Capitals,Mumbai Indians,213,176,Mumbai Indians,Field,Capitals,37 runs,Rishabh Pant,Wankhede Stadium,Mumbai
2019,Kings XI Punjab,Rajasthan Royals,184,170,Rajasthan Royals,Field,Kings,14 runs,Chris Gayle,Sawai Mansingh Stadium,Jaipur
2019,Delhi Capitals,Chennai Super Kings,147,150,Delhi Capitals,Bat,Super,6 wickets,Shane Watson,Feroz Shah Kotla,Delhi
2019,Kolkata Knight Riders,Kings XI Punjab,218,190,Kings XI Punjab,Field,KKR,28 runs,Andre Russell,Eden Gardens,Kolkata
2019,Mumbai Indians,Royal Challengers Bangalore,187,181,Royal Challengers Bangalore,Field,Mumbai,6 runs,Jasprit Bumrah,M Chinnaswamy Stadium,Bangalore
2019,Rajasthan Royals,Sunrisers Hyderabad,198,201,Rajasthan Royals,Bat,Sunrisers,5 wickets,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
2019,Mumbai Indians,Kings XI Punjab,176,177,Kings XI Punjab,Field,Kings,8 wickets,Mayank Agarwal,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Kolkata Knight Riders,Delhi Capitals,185,185,Delhi Capitals,Field,Tied,Tied,Prithvi Shaw,Feroz Shah Kotla,Delhi
2019,Sunrisers Hyderabad,Royal Challengers Bangalore,231,113,Royal Challengers Bangalore,Field,Sunrisers,118 runs,Jonny Bairstow,Rajiv Gandhi International Stadium,Uppal
2019,Chennai Super Kings,Rajasthan Royals,175,167,Rajasthan Royals,Field,Super,8 runs,MS Dhoni,MA Chidambaram Stadium,Chepauk
2019,Kings XI Punjab,Delhi Capitals,166,152,Delhi Capitals,Field,Kings,14 runs,Sam Curran,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Royal Challengers Bangalore,Rajasthan Royals,158,164,Rajasthan Royals,Field,Royals,7 wickets,Shreyas Gopal,Sawai Mansingh Stadium,Jaipur
2019,Mumbai Indians,Chennai Super Kings,170,133,Chennai Super Kings,Field,Mumbai,37 runs,Hardik Pandya,Wankhede Stadium,Mumbai
2019,Delhi Capitals,Sunrisers Hyderabad,129,131,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Jonny Bairstow,Feroz Shah Kotla,Delhi
2019,Royal Challengers Bangalore,Kolkata Knight Riders,205,206,Kolkata Knight Riders,Field,KKR,5 wickets,Andre Russell,M Chinnaswamy Stadium,Bangalore
2019,Chennai Super Kings,Kings XI Punjab,160,138,Chennai Super Kings,Bat,Super,22 runs,Harbhajan Singh,MA Chidambaram Stadium,Chepauk
2019,Mumbai Indians,Sunrisers Hyderabad,136,96,Sunrisers Hyderabad,Field,Mumbai,40 runs,Alzarri Joseph,Rajiv Gandhi International Stadium,Uppal
2019,Royal Challengers Bangalore,Delhi Capitals,149,152,Delhi Capitals,Field,Capitals,4 wickets,Kagiso Rabada,M Chinnaswamy Stadium,Bangalore
2019,Rajasthan Royals,Kolkata Knight Riders,139,140,Kolkata Knight Riders,Field,KKR,8 wickets,Harry Gurney,Sawai Mansingh Stadium,Jaipur
2019,Sunrisers Hyderabad,Kings XI Punjab,150,151,Kings XI Punjab,Field,Kings,6 wickets,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Kolkata Knight Riders,Chennai Super Kings,108,111,Chennai Super Kings,Field,Super,7 wickets,Deepak Chahar,MA Chidambaram Stadium,Chepauk
2019,Kings XI Punjab,Mumbai Indians,197,198,Mumbai Indians,Field,Mumbai,3 wickets,Kieron Pollard,Wankhede Stadium,Mumbai
2019,Rajasthan Royals,Chennai Super Kings,151,155,Chennai Super Kings,Field,Super,4 wickets,MS Dhoni,Sawai Mansingh Stadium,Jaipur
2019,Kolkata Knight Riders,Delhi Capitals,178,180,Delhi Capitals,Field,Capitals,7 wickets,Shikhar Dhawan,Eden Gardens,Kolkata
2019,Mumbai Indians,Rajasthan Royals,187,188,Rajasthan Royals,Field,Royals,4 wickets,Jos Buttler,Wankhede Stadium,Mumbai
2019,Kings XI Punjab,Royal Challengers Bangalore,173,174,Royal Challengers Bangalore,Field,RCB,8 wickets,AB de Villiers,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Kolkata Knight Riders,Chennai Super Kings,161,162,Chennai Super Kings,Field,Super,5 wickets,Imran Tahir,Eden Gardens,Kolkata
2019,Delhi Capitals,Sunrisers Hyderabad,155,116,Sunrisers Hyderabad,Field,Capitals,39 runs,Keemo Paul,Rajiv Gandhi International Stadium,Uppal
2019,Royal Challengers Bangalore,Mumbai Indians,171,172,Mumbai Indians,Field,Mumbai,5 wickets,Lasith Malinga,Wankhede Stadium,Mumbai
2019,Kings XI Punjab,Rajasthan Royals,182,170,Rajasthan Royals,Field,Kings,12 runs,Ravichandran Ashwin,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Chennai Super Kings,Sunrisers Hyderabad,132,137,Chennai Super Kings,Bat,Sunrisers,6 wickets,David Warner,Rajiv Gandhi International Stadium,Uppal
2019,Mumbai Indians,Delhi Capitals,168,128,Mumbai Indians,Bat,Mumbai,40 runs,Hardik Pandya,Feroz Shah Kotla,Delhi
2019,Royal Challengers Bangalore,Kolkata Knight Riders,213,203,Kolkata Knight Riders,Field,RCB,10 runs,Virat Kohli,Eden Gardens,Kolkata
2019,Mumbai Indians,Rajasthan Royals,161,162,Rajasthan Royals,Field,Royals,5 wickets,Steven Smith,Sawai Mansingh Stadium,Jaipur
2019,Kings XI Punjab,Delhi Capitals,163,166,Delhi Capitals,Field,Capitals,5 wickets,Shreyas Iyer,Feroz Shah Kotla,Delhi
2019,Kolkata Knight Riders,Sunrisers Hyderabad,159,161,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Khaleel Ahmed,Rajiv Gandhi International Stadium,Uppal
2019,Royal Challengers Bangalore,Chennai Super Kings,161,160,Chennai Super Kings,Field,RCB,1 run,Parthiv Patel,M Chinnaswamy Stadium,Bangalore
2019,Rajasthan Royals,Delhi Capitals,191,193,Delhi Capitals,Field,Capitals,6 wickets,Rishabh Pant,Sawai Mansingh Stadium,Jaipur
2019,Sunrisers Hyderabad,Chennai Super Kings,175,176,Chennai Super Kings,Field,Super,6 wickets,Shane Watson,MA Chidambaram Stadium,Chepauk
2019,Royal Challengers Bangalore,Kings XI Punjab,202,185,Kings XI Punjab,Field,RCB,17 runs,AB de Villiers,M Chinnaswamy Stadium,Bangalore
2019,Kolkata Knight Riders,Rajasthan Royals,175,177,Rajasthan Royals,Field,Royals,3 wickets,Varun Aaron,Eden Gardens,Kolkata
2019,Mumbai Indians,Chennai Super Kings,155,109,Chennai Super Kings,Field,Mumbai,46 runs,Rohit Sharma,MA Chidambaram Stadium,Chepauk
2019,Sunrisers Hyderabad,Rajasthan Royals,160,161,Rajasthan Royals,Field,Royals,7 wickets,Jaydev Unadkat,Sawai Mansingh Stadium,Jaipur
